,date_of_sale,address,location,livingarea,rooms,plotarea,closingprice
0,2017-11-23,Sjöhåla 580,"Kovikshamn, Kungälvs kommun",181,5,1068.0,3100000
1,2017-11-18,Galeasgatan 15,"Kungälv, Kungälvs kommun",167,5,610.0,3850000
2,2017-11-17,Västerhöjdsvägen 36,"Kärna, Kungälvs kommun",107,5,258.0,4000000
3,2017-11-16,Gråstensvägen 19,"Kode Halltorp, Kungälvs kommun",94,5,1197.0,3200000
4,2017-11-16,Hägnan 135,"KAREBY, Kungälvs kommun",235,6,104335.0,8800000
5,2017-11-15,Rishammarvägen 17,"Kareby, Kungälvs kommun",200,6,1142.0,4375000
6,2017-11-10,Nygatan 14,"Marstrand - Koön, Kungälvs kommun",247,6,677.0,10800000
7,2017-11-05,Granndalen 7,"Lycke, Kungälvs kommun",50,2,1465.0,1875000
8,2017-11-01,Skårby 670,"Kareby, Kungälvs kommun",143,6,4813.0,3000000
9,2017-11-01,Kodevägen 3,"KODE, Kungälvs kommun",200,7,2025.0,4300000
10,2017-10-31,Matskärsvägen 12A,"Lycke, Kungälvs kommun",145,6,249.0,4500000
11,2017-10-31,Årsnäs 290,"Årsnäs, Kungälvs kommun",167,5,2558.0,4950000
12,2017-10-27,Staby 350,"Kärna, Kungälvs kommun",190,4,911.0,2425000
13,2017-10-27,Vråstigen 6,"Överön / Vråkärr, Kungälvs kommun",100,3,1453.0,2475000
14,2017-10-26,Bergkristallvägen 23,"Kode, Kungälvs kommun",130,5,504.0,4780000
15,2017-10-23,Östra Gatan 9,"Centrum, Kungälvs kommun",407,10,359.0,7900000
16,2017-10-21,Kållen 160,"Norrmannebo, Kungälvs kommun",88,4,1819.0,1650000
17,2017-10-20,Fredkullagatan 8,"Komarken, Kungälvs kommun",275,6,741.0,7160000
18,2017-10-20,Jakobsvägen 7,"Kode, Kungälvs kommun",188,3,1324.0,5475000
19,2017-10-16,Mjölnarvägen 13,"Diseröd, Kungälvs kommun",217,7,899.0,3965000
20,2017-10-13,Klövergången 15,"Centrum, Kungälvs kommun",125,4,401.0,4150000
21,2017-10-13,Kulperödsvägen 5A,"Gullbringa, Kungälvs kommun",120,5,450.0,2495000
22,2017-10-13,Stora Ryr 130,"Lycke, Kungälvs kommun",100,5,2270.0,1600000
