,0
year,0
mean_years_of_schooling_female,592
share_of_male_seats_in_parliament,336
mean_years_of_schooling,346
income_inequality,3408
co2_emissions_per_capita_tonnes,17
expected_years_of_schooling_male,455
expected_years_of_schooling,0
female_labour_force_participation_rate,332
female_population_with_some_secondary_education,627
expected_years_of_schooling_female,455
adolescent_birth_rate_per_1000_women_ages_15_19,0
material_footprint_per_capita_tonnes,935
mean_years_of_schooling_male,592
male_population_with_some_secondary_education,626
share_of_female_seats_in_parliament,336
education_inequality,3290
gender_development_index,948
coefficient_of_human_inequality,3472
male_labour_force_participation_rate,332
human_development_index,421
gross_national_income_per_capita_2017_ppp,39
total_population_as_of_january_1st_thousands,0
total_population_as_of_july_1st_thousands,0
male_population_as_of_july_1st_thousands,0
female_population_as_of_july_1st_thousands,0
population_density_as_of_july_1st_persons_per_square_km,0
population_sex_ratio_as_of_july_1st_males_per_100_females,0
median_age_as_of_july_1st_years,0
natural_change_births_minus_deaths_thousands,0
rate_of_natural_change_per_1000_population,0
population_change_thousands,0
population_growth_rate_percentage,0
population_annual_doubling_time_years,1277
births_thousands,0
births_by_women_aged_15_to_19_thousands,0
crude_birth_rate_births_per_1000_population,0
total_fertility_rate_live_births_per_woman,0
net_reproduction_rate_surviving_daughters_per_woman,0
mean_age_of_childbearing_years,0
sex_ratio_at_birth_males_per_100_female_births,0
total_deaths_thousands,0
male_deaths_thousands,0
female_deaths_thousands,0
crude_death_rate_deaths_per_1000_population,0
live_births_surviving_to_age_1_thousands,0
net_number_of_migrants_thousands,0
net_migration_rate_per_1000_population,0
country_id,0
