,country,human_development_index,gross_national_income_per_capita_2017_ppp_log,median_age_as_of_july_1st_years,mean_years_of_schooling,rate_of_natural_change_per_1000_population,net_reproduction_rate_surviving_daughters_per_woman,adolescent_birth_rate_per_1000_women_ages_15_19,total_fertility_rate_live_births_per_woman,crude_birth_rate_births_per_1000_population
1684,Eritrea,False,False,False,False,False,False,False,False,False
146,United Arab Emirates,False,False,False,False,False,False,False,False,False
5942,Saint Vincent and the Grenadines,False,False,False,False,False,False,False,False,False
77,Albania,False,False,False,False,False,False,False,False,False
2135,Guinea-Bissau,False,False,False,False,False,False,False,False,False
705,Bolivia (Plurinational State of),False,False,False,False,False,False,False,False,False
5744,Tanzania,False,False,False,False,False,False,False,False,False
4392,Peru,False,False,False,False,False,False,False,False,False
3060,Kuwait,False,False,False,False,False,False,False,False,False
2178,Greece,False,False,False,False,False,False,False,False,False
5815,Ukraine,False,False,False,False,False,False,False,False,False
5216,Slovenia,True,True,False,False,False,False,False,False,False
2828,Kazakhstan,False,False,False,False,False,False,False,False,False
2979,Saint Kitts and Nevis,True,False,False,True,False,False,False,False,False
2451,Hungary,False,False,False,False,False,False,False,False,False
1486,Dominica,False,False,False,False,False,False,False,False,False
103,Andorra,True,False,False,True,False,False,False,False,False
5566,Timor-Leste,False,False,False,False,False,False,False,False,False
1933,Gabon,False,False,False,False,False,False,False,False,False
1566,Dominican Republic,False,False,False,False,False,False,False,False,False
2769,Jordan,False,False,False,False,False,False,False,False,False
4305,Oman,False,False,False,False,False,False,False,False,False
2741,Jamaica,False,False,False,False,False,False,False,False,False
5293,Eswatini,False,False,False,False,False,False,False,False,False
1347,Cyprus,False,False,False,False,False,False,False,False,False
174,Argentina,False,False,False,False,False,False,False,False,False
2002,Georgia,False,False,False,False,False,False,False,False,False
5974,Venezuela (Bolivarian Republic of),False,False,False,False,False,False,False,False,False
586,Bahamas,False,False,False,False,False,False,False,False,False
1103,Cameroon,False,False,False,False,False,False,False,False,False
2221,Grenada,False,False,False,False,False,False,False,False,False
4211,Nepal,False,False,False,False,False,False,False,False,False
355,Burundi,False,False,False,False,False,False,False,False,False
4365,Panama,False,False,False,False,False,False,False,False,False
4124,Nicaragua,False,False,False,False,False,False,False,False,False
6054,Samoa,False,False,False,False,False,False,False,False,False
2571,Iran (Islamic Republic of),False,False,False,False,False,False,False,False,False
4165,Norway,False,False,False,False,False,False,False,False,False
5120,Sao Tome and Principe,False,False,False,False,False,False,False,False,False
4154,Netherlands,False,False,False,False,False,False,False,False,False
5510,Turkmenistan,True,False,False,False,False,False,False,False,False
2992,Saint Kitts and Nevis,False,False,False,False,False,False,False,False,False
4273,New Zealand,False,False,False,False,False,False,False,False,False
2980,Saint Kitts and Nevis,True,False,False,True,False,False,False,False,False
3587,Mexico,False,False,False,False,False,False,False,False,False
1419,Germany,False,False,False,False,False,False,False,False,False
2630,Iceland,False,False,False,False,False,False,False,False,False
6162,Zambia,False,False,False,False,False,False,False,False,False
4822,Sudan,False,False,False,False,False,False,False,False,False
1094,Cameroon,False,False,False,False,False,False,False,False,False
3574,Maldives,False,False,False,False,False,False,False,False,False
4926,Solomon Islands,False,False,False,False,False,False,False,False,False
3417,Latvia,False,False,False,False,False,False,False,False,False
3418,Latvia,False,False,False,False,False,False,False,False,False
2836,Kazakhstan,False,False,False,False,False,False,False,False,False
2744,Jamaica,False,False,False,False,False,False,False,False,False
72,Albania,False,False,False,False,False,False,False,False,False
888,Botswana,False,False,False,False,False,False,False,False,False
2668,Israel,False,False,False,False,False,False,False,False,False
699,Belize,False,False,False,False,False,False,False,False,False
1490,Dominica,False,False,False,False,False,False,False,False,False
2339,Honduras,False,False,False,False,False,False,False,False,False
5390,Chad,False,False,False,False,False,False,False,False,False
226,Antigua and Barbuda,True,False,False,True,False,False,False,False,False
537,Bulgaria,False,False,False,False,False,False,False,False,False
4003,Namibia,False,False,False,False,False,False,False,False,False
62,Angola,False,False,False,False,False,False,False,False,False
4831,Sudan,False,False,False,False,False,False,False,False,False
2860,Kenya,False,False,False,False,False,False,False,False,False
3694,Mali,False,False,False,False,False,False,False,False,False
5721,Tuvalu,False,False,False,False,False,False,False,False,False
1384,Czechia,False,False,False,False,False,False,False,False,False
6006,Viet Nam,False,False,False,False,False,False,False,False,False
6108,Yemen,False,False,False,False,False,False,False,False,False
106,Andorra,False,False,False,False,False,False,False,False,False
6101,Yemen,False,False,False,False,False,False,False,False,False
3572,Maldives,False,False,False,False,False,False,False,False,False
4079,Nigeria,False,False,False,False,False,False,False,False,False
5587,Tonga,False,False,False,False,False,False,False,False,False
779,Barbados,False,False,False,False,False,False,False,False,False
4389,Peru,False,False,False,False,False,False,False,False,False
4582,Portugal,False,False,False,False,False,False,False,False,False
1406,Czechia,False,False,False,False,False,False,False,False,False
2369,Croatia,True,True,False,False,False,False,False,False,False
2046,Ghana,False,False,False,False,False,False,False,False,False
6113,South Africa,False,False,False,False,False,False,False,False,False
3851,Mozambique,False,False,False,False,False,False,False,False,False
517,Bulgaria,False,False,False,False,False,False,False,False,False
1942,Gabon,False,False,False,False,False,False,False,False,False
6100,Yemen,False,False,False,False,False,False,False,False,False
532,Bulgaria,False,False,False,False,False,False,False,False,False
4708,Russian Federation,False,False,False,False,False,False,False,False,False
3834,Mongolia,False,False,False,False,False,False,False,False,False
3186,Libya,False,False,False,False,False,False,False,False,False
4721,Russian Federation,False,False,False,False,False,False,False,False,False
4432,Philippines,False,False,False,False,False,False,False,False,False
2986,Saint Kitts and Nevis,True,False,False,True,False,False,False,False,False
5647,Tunisia,False,False,False,False,False,False,False,False,False
399,Belgium,False,False,False,False,False,False,False,False,False
1615,Ecuador,False,False,False,False,False,False,False,False,False
742,Brazil,False,False,False,False,False,False,False,False,False
3120,Lebanon,False,False,False,False,False,False,False,False,False
2583,Iran (Islamic Republic of),False,False,False,False,False,False,False,False,False
3284,Sri Lanka,False,False,False,False,False,False,False,False,False
4626,Paraguay,False,False,False,False,False,False,False,False,False
799,Barbados,False,False,False,False,False,False,False,False,False
