country,,country,year,mean_years_of_schooling_female,share_of_male_seats_in_parliament,mean_years_of_schooling,income_inequality,co2_emissions_per_capita_tonnes,expected_years_of_schooling_male,expected_years_of_schooling,female_labour_force_participation_rate,female_population_with_some_secondary_education,expected_years_of_schooling_female,adolescent_birth_rate_per_1000_women_ages_15_19,material_footprint_per_capita_tonnes,mean_years_of_schooling_male,male_population_with_some_secondary_education,share_of_female_seats_in_parliament,education_inequality,gender_development_index,coefficient_of_human_inequality,male_labour_force_participation_rate,human_development_index,gross_national_income_per_capita_2017_ppp,total_population_as_of_january_1st_thousands,total_population_as_of_july_1st_thousands,male_population_as_of_july_1st_thousands,female_population_as_of_july_1st_thousands,population_density_as_of_july_1st_persons_per_square_km,population_sex_ratio_as_of_july_1st_males_per_100_females,median_age_as_of_july_1st_years,natural_change_births_minus_deaths_thousands,rate_of_natural_change_per_1000_population,population_change_thousands,population_growth_rate_percentage,population_annual_doubling_time_years,births_thousands,births_by_women_aged_15_to_19_thousands,crude_birth_rate_births_per_1000_population,total_fertility_rate_live_births_per_woman,net_reproduction_rate_surviving_daughters_per_woman,mean_age_of_childbearing_years,sex_ratio_at_birth_males_per_100_female_births,total_deaths_thousands,male_deaths_thousands,female_deaths_thousands,crude_death_rate_deaths_per_1000_population,live_births_surviving_to_age_1_thousands,net_number_of_migrants_thousands,net_migration_rate_per_1000_population,country_id,gross_national_income_per_capita_2017_ppp_log
Afghanistan,11,Afghanistan,2001,0.671958328,71.94695470906993,1.465160991,,0.036930645,7.403086251,5.831550121,14.936,1.476499959,3.896981274,150.863,2.34,2.001140739,7.183766943,28.061935911411847,43.759134294290234,0.504,,76.589,0.337,894.0245886,19416.052,19688.632,9895.466,9793.166,30.323,101.0446,14.0595,737.451,37.266,545.161,2.769,25.0324,969.246,147.031,48.979,7.4458,2.9108,29.658,106.5,231.795,122.631,109.165,11.713,909.0,-192.286,-9.717,0,6.795733278822131
Afghanistan,14,Afghanistan,2004,0.779602138,72.15551125743345,1.637226161,,0.035959937,10.46887016,7.39387989,15.475,1.803595865,4.137720108,138.827,2.2,2.152170229,8.441940815,27.847814871629488,44.28806052362197,0.522,,76.332,0.392,1384.695729,23250.96,23553.551,11862.726,11690.825,36.2755,101.4704,14.0335,853.793,36.053,605.181,2.57,26.9707,1097.16,165.814,46.33,7.0686,2.837,29.527,106.4,243.367,127.566,115.801,10.277,1033.34,-248.616,-10.498,0,7.233235704233293
Afghanistan,21,Afghanistan,2011,1.011199426,72.36467236,2.157332242,10.767,0.401953514,11.22854996,9.278809547,15.454,2.008868343,7.226290226,116.454,2.12,2.755239372,12.40825237,27.63532764,44.82338,0.642,29.49569394,76.659,0.456,1999.653042,28576.174,29249.157,14780.282,14468.875,45.0475,102.1523,14.679,927.172,31.924,1345.966,4.603,15.0586,1157.518,191.027,39.855,5.9581,2.5171,29.149,105.9,230.346,121.782,108.564,7.931,1101.402,418.796,14.42,0,7.60072896549286
Afghanistan,23,Afghanistan,2013,1.141676772,72.36467236,2.261614163,,0.261571351,12.01694997,9.875836372,16.794,2.45108739,7.620163441,106.537,1.88,2.885292544,13.52556807,27.63532764,44.82338,0.659,,75.588,0.474,2193.553936,31010.817,31541.209,15946.572,15594.636,48.5775,102.2568,15.2393,1012.711,32.123,1060.783,3.363,20.611,1248.455,193.62,39.601,5.6962,2.4377,29.259,105.7,235.744,125.053,110.691,7.478,1191.345,48.076,1.525,0,7.693278309316956
Afghanistan,26,Afghanistan,2016,1.430357898,72.55520505,2.463660385,,0.190616791,12.48548985,10.1859498,19.798,3.459785381,7.766784906,94.018,1.66,3.082469933,14.66675803,27.44479495,45.36517,0.682,,73.045,0.481,2077.566899,34146.178,34636.207,17520.861,17115.346,53.3442,102.3693,15.7953,1070.294,30.859,980.059,2.83,24.4928,1315.746,188.374,37.936,5.2618,2.2834,29.224,105.5,245.452,132.33,113.122,7.077,1260.071,-90.238,-2.602,0,7.638952727895857
Afghanistan,30,Afghanistan,2020,2.063173023,72.78481013,2.854717589,,0.312376488,12.67218933,10.26384398,16.189,5.72570116,7.736391273,84.296,1.38,3.350966804,14.7622551,27.21518987,45.36517,0.689,,65.58,0.483,1997.852149,38326.027,38972.23,19692.301,19279.93,60.0223,102.1389,16.5515,1125.582,28.938,1292.407,3.317,20.8968,1402.265,188.016,36.051,4.7502,2.1053,28.962,105.2,276.683,155.192,121.492,7.113,1349.26,166.821,4.289,0,7.599827956970901
Albania,65,Albania,1991,6.696485922,111.65546629768434,7.352753507,92.29336573611546,1.288960628,12.03052998,11.76358032,54.727,58.38584943,11.47906971,14.784,5.91,7.922592965,67.06259649,1.129741354766142,,0.921,20.168367778040245,75.143,0.629,3358.087827,3300.069,3302.081,1675.168,1626.914,120.5227,102.966,23.3723,60.62,18.208,4.025,0.122,,78.981,2.345,23.723,2.8259,1.2946,28.151,108.4,18.361,10.306,8.055,5.515,76.56,-56.599,-17.0,1,8.119126991851745
Albania,67,Albania,1993,6.703830573,105.5363228642611,7.348996351,61.613256771638305,0.724712295,9.912679672,10.12650013,54.638,58.8277813,10.35231018,17.855,5.36,7.926437951,67.16650387,1.9392776912120517,,0.938,18.005989352508568,75.222,0.617,3538.885493,3303.384,3300.711,1663.515,1637.195,120.4727,101.6077,23.9474,56.588,16.99,-5.347,-0.162,,74.839,2.796,22.47,2.7071,1.2502,27.746,107.7,18.251,10.199,8.052,5.48,72.736,-61.925,-18.592,1,8.171567124071792
Albania,69,Albania,1995,6.711175224,99.75253172123962,7.345239196,41.13181245184928,0.663842752,10.2286396,10.16617012,52.576,59.26971318,10.09895039,21.869,5.47,7.930282937,67.27041126,3.328901741771891,,0.933,16.075453211224406,73.768,0.634,4583.051036,3289.96,3284.364,1644.902,1639.462,119.876,100.3318,24.5275,53.923,16.26,-11.192,-0.341,,72.325,3.397,21.809,2.6849,1.2444,27.61,107.8,18.402,10.285,8.117,5.549,70.455,-65.106,-19.632,1,8.430120220384278
Albania,75,Albania,2001,8.235190392,94.28571429,8.823679924,27.45879838562407,1.029074954,10.57209969,10.6844101,49.087,70.99655151,10.79098988,9.697,8.7,9.424059868,80.57055664,5.714285714,,0.933,14.351902074753943,70.702,0.684,6645.348336,3168.328,3153.612,1562.949,1590.663,115.1037,98.2577,26.7949,32.625,10.248,-29.432,-0.933,,51.32,1.53,16.12,2.1503,0.9889,28.45,111.1,18.695,10.487,8.208,5.872,50.273,-62.059,-19.494,1,8.80167239054092
Albania,84,Albania,2010,9.18828996,83.57142857,9.626719793,18.33096,1.508841688,12.64352989,12.99997044,46.727,81.02229563,13.38677025,19.65,11.92,10.09342321,87.28593699,16.42857143,11.9,0.96,12.81314377,63.788,0.754,10643.05764,2920.897,2913.4,1459.102,1454.297,106.3362,100.3304,32.2557,14.321,4.891,-14.995,-0.515,,34.904,2.775,11.92,1.6564,0.7713,27.501,111.2,20.583,11.809,8.774,7.029,34.541,-29.33,-10.017,1,9.27266309379261
Albania,86,Albania,2012,9.832489967,84.28571429,10.02511024,12.23739254,1.601834668,14.18840981,14.58664989,48.778,85.21604156,15.02785015,20.909,12.44,10.23851013,89.42938232,15.71428571,11.9,0.974,10.42977938,65.197,0.778,11146.26303,2895.406,2892.193,1450.37,1441.822,105.5622,100.5929,33.3364,13.509,4.654,-6.426,-0.222,,35.489,2.8,12.227,1.6919,0.7942,27.539,109.9,21.98,12.601,9.379,7.573,35.179,-19.946,-6.872,1,9.318859566451433
Albania,89,Albania,2015,10.58723198,79.28571429,10.54743948,12.23739254,1.555329452,14.60935974,15.07629967,46.898,93.74003693,15.60177994,20.276,12.61,10.52549585,92.49715635,20.71428571,11.9,0.984,10.13333035,63.957,0.795,12016.2976,2883.156,2882.48,1445.782,1436.698,105.2077,100.6322,34.6879,10.891,3.771,-1.351,-0.047,,33.845,2.415,11.718,1.613,0.7616,28.011,109.1,22.954,13.262,9.692,7.947,33.593,-12.24,-4.238,1,9.394019140674583
