,country,expected_years_of_schooling
24,Afghanistan,10.17434978
17,Afghanistan,8.193494034
14,Afghanistan,7.39387989
20,Afghanistan,9.002689838
11,Afghanistan,5.831550121
5,Afghanistan,4.016550064
18,Afghanistan,8.460032082
7,Afghanistan,4.621550083
15,Afghanistan,7.660417938
8,Afghanistan,4.924050093
31,Afghanistan,10.26384398
13,Afghanistan,6.43655014
9,Afghanistan,5.226550102
10,Afghanistan,5.529050112
26,Afghanistan,10.1859498
0,Afghanistan,2.504050016
21,Afghanistan,9.278809547
28,Afghanistan,10.19754982
3,Afghanistan,3.411550045
22,Afghanistan,9.57732296
6,Afghanistan,4.319050074
27,Afghanistan,10.19174981
12,Afghanistan,6.134050131
25,Afghanistan,10.18014979
30,Afghanistan,10.26384398
19,Afghanistan,8.726570129
76,Albania,10.70151997
81,Albania,11.96422958
80,Albania,11.58205032
66,Albania,10.66378021
89,Albania,15.07629967
67,Albania,10.12650013
70,Albania,10.22844982
86,Albania,14.58664989
71,Albania,10.50508022
77,Albania,10.90470982
90,Albania,14.80459976
88,Albania,15.25242043
92,Albania,14.69561958
65,Albania,11.76358032
78,Albania,10.88479042
82,Albania,12.12487984
75,Albania,10.6844101
87,Albania,14.92564011
83,Albania,12.26375961
91,Albania,14.81612968
95,Albania,14.44799995
84,Albania,12.99997044
68,Albania,10.09115028
73,Albania,10.68494034
85,Albania,13.74845028
1588,Algeria,13.99880028
1589,Algeria,14.33228016
1575,Algeria,10.30550639
1573,Algeria,9.901869774
1569,Algeria,9.710650444
1586,Algeria,13.06785488
1590,Algeria,14.33228016
1571,Algeria,9.840649605
1581,Algeria,11.74497032
1578,Algeria,10.99380493
1568,Algeria,9.658769608
1582,Algeria,12.05364037
1597,Algeria,14.62689602
1585,Algeria,12.57499981
1579,Algeria,11.18766975
1570,Algeria,9.820469856
1598,Algeria,14.62689602
1580,Algeria,11.52264977
1576,Algeria,10.55272325
1577,Algeria,10.79994011
1595,Algeria,14.52869073
1591,Algeria,14.33228016
1596,Algeria,14.57779338
1574,Algeria,10.05828953
1572,Algeria,9.914270401
1594,Algeria,14.47958809
122,Andorra,13.30023874
127,Andorra,13.30023874
104,Andorra,10.79878
96,Andorra,10.79878
110,Andorra,10.79199
123,Andorra,13.04647577
103,Andorra,10.79878
100,Andorra,10.79878
114,Andorra,11.67192
99,Andorra,10.79878
106,Andorra,10.79878
105,Andorra,10.79878
117,Andorra,11.67192
102,Andorra,10.79878
115,Andorra,11.67192
107,Andorra,10.79878
119,Andorra,13.13884093
116,Andorra,11.67192
97,Andorra,10.79878
124,Andorra,13.30023874
118,Andorra,13.52401627
101,Andorra,10.79878
112,Andorra,11.18277
121,Andorra,13.14028012
108,Andorra,11.03658
36,Angola,3.469649951
42,Angola,4.609681686
52,Angola,8.63424015
58,Angola,12.17209
41,Angola,4.207225839
43,Angola,5.012137532
55,Angola,10.6049
50,Angola,7.829328458
49,Angola,7.426872611
34,Angola,3.30208993
56,Angola,11.1273
38,Angola,3.637209972
59,Angola,12.1721
57,Angola,11.6497
39,Angola,3.720989982
47,Angola,6.621960918
40,Angola,3.804769993
54,Angola,10.0825
51,Angola,8.231784304
32,Angola,3.537480116
35,Angola,3.38586994
